Distance (m)	Slope (deg)
3270	1.07033
3280	0.77964
3290	1.32137
3300	1.4496
3310	0.86228
3320	0.82767
3330	0.98148
3340	0.04289
3350	1.03536
3360	0.48104
3370	1.42035
3380	0.41124
3390	0.87363
3400	1.33132
3410	1.55966
3420	1.45745
3430	1.07239
3440	0.78654
3450	0.68161
3460	0.84548
3470	1.17703
3480	0.33877
3490	1.02644
3500	0.4025
3510	1.02255
3520	1.0632
3530	1.29012
3540	0.50933
3550	1.53542
3560	0.67373
3570	1.16859
3580	1.01947
3590	1.6167
3600	0.17715
3610	0.81433
3620	1.30446
3630	1.50258
3640	0.72766
3650	0.35651
3660	0.61191
3670	1.22503
3680	2.03625
3690	1.31706
3700	1.44765
3710	0.14261
3720	1.1468
3730	1.61064
3740	2.05221
3750	1.85334
3760	0.80919
3770	1.56481
3780	2.05111
3790	2.37353
3800	2.76656
3810	0.63936
3820	1.70012
3830	3.39634
3840	2.73383
3850	0.78921
3860	2.07414
3870	1.81024
3880	1.98499
3890	3.73361
3900	2.39042
3910	0.09992
3920	3.95128
3930	1.98129
3940	1.63353
3950	1.19721
3960	3.93006
3970	1.43734
3980	1.28464
3990	2.80765
4000	1.39415
4010	5.76552
4020	2.48427
4030	0.75217
4040	2.00239
4050	3.31345
4060	2.76972
4070	1.00034
4080	5.41406
4090	7.54668
4100	3.18782
4110	4.55251
4120	4.11903
4130	0.74078
4140	2.12293
4150	3.55046
4160	7.5655
4170	2.96097
4180	0.47526
4190	5.10905
4200	1.77858
4210	5.0862
4220	2.45228
4230	2.08656
4240	4.34962
4250	2.09923
4260	3.9372
4270	1.82945
4280	1.27736
4290	1.45734
4300	1.50418
4310	2.3829
4320	2.42699
4330	2.12377
4340	3.67145
4350	1.26879
4360	3.54395
4370	3.78176
4380	2.23344
4390	2.74788
4400	2.39065
4410	1.7315
4420	2.11316
4430	2.45083
4440	1.1906
4450	1.05413
4460	1.51421
4470	0.94933
4480	1.27198
4490	1.27016
4500	0.89203
4510	0.98766
4520	1.06001
4530	0.92007
4540	0.8019
4550	1.15311
4560	1.05374
4570	0.98855
4580	1.27889
4590	1.32228
4600	1.49439
4610	1.70942
4620	1.84717
4630	2.3245
4640	3.28949
4650	2.51701
4660	1.66454
4670	1.90689
4680	1.79292
4690	2.14103
4700	2.73938
4710	2.05689
4720	1.95044
4730	2.33957
4740	1.86849
4750	2.96507
4760	1.72675
4770	2.25604
4780	2.04238
4790	0.94043
4800	1.37832
4810	1.15879
4820	1.28594
4830	1.07226
4840	1.45892
4850	1.54071
4860	1.52556
4870	1.4897
4880	1.53672
4890	1.0199
4900	1.23404
4910	1.02826
4920	0.78086
4930	1.19431
4940	2.34433
4950	1.9436
4960	2.47889
4970	2.19224
4980	1.31445
4990	1.31617
5000	0.98369
5010	0.58843
5020	0.67428
5030	0.46102
5040	0.44863
5050	0.19998
5060	0.60355
5070	0.58839
5080	0.36174
5090	0.3379
5100	0.28614
5110	0.40012
5120	0.50512
5130	0.41828
5140	0.58824
5150	0.60849
5160	0.64322
5170	0.46518
5180	0.4368
5190	0.62008
5200	0.60956
5210	0.75287
5220	0.54413
5230	0.66429
5240	0.94224
5250	0.41053
5260	0.52276
5270	0.61422
5280	0.644
5290	0.81612
5300	0.57947
5310	0.7229
5320	0.557
5330	0.43073
5340	0.65327
5350	0.51518
5360	0.75973
5370	0.54587
5380	0.6366
5390	0.7961
5400	0.49546
5410	0.54646
5420	0.42707
5430	0.655
5440	0.31306
5450	0.5198
5460	0.66648
5470	0.70203
5480	0.48369
5490	0.59699
5500	0.50854
5510	0.62734
5520	0.41165
5530	0.49077
5540	0.40463
5550	0.69196
5560	0.5629
5570	0.19404
5580	0.32797
5590	0.49147
5600	0.51206
5610	1.18255
5620	0.4256
5630	0.40517
5640	0.54941
5650	0.66261
5660	0.68621
5670	0.44174
5680	0.54168
5690	1.00619
5700	0.85826
5710	0.89612
5720	0.87881
5730	1.28922
5740	2.43714
5750	1.35231
5760	2.72158
5770	4.28806
5780	1.17967
5790	1.46554
5800	1.50578
5810	0.66131
5820	1.35622
5830	0.99224
5840	1.75139
5850	1.90552
5860	1.72418
5870	1.44621
5880	0.98801
5890	1.06334
5900	0.85891
5910	1.39833
5920	1.04835
5930	0.75896
5940	0.98365
5950	0.84568
5960	0.74869
5970	1.1194
5980	0.63738
5990	1.29424
6000	1.71415
6010	3.14441
6020	2.67786
6030	2.1249
6040	1.90089
6050	1.55622
6060	1.67284
6070	2.26992
6080	1.67571
6090	2.65365
6100	3.54208
6110	4.12581
6120	12.80652
6130	17.41955
6140	13.75093
6150	14.03127
6160	3.12988
6170	2.20267
6180	0.70438
6190	2.56254
6200	4.44329
6210	2.44677
6220	3.17278
6230	1.6749
6240	2.29715
6250	1.27691
6260	1.79974
6270	1.38734
6280	2.11753
6290	3.39126
6300	4.28706
6310	1.41072
6320	3.12642
6330	0.21789
6340	0.53192
6350	0.90164
6360	1.11417
6370	1.34202
6380	1.46637
6390	1.04901
6400	1.77238
6410	2.8173
6420	2.12441
6430	1.75615
6440	1.866747
6450	1.977344
6460	2.08794
6470	3.27901
6480	2.6664
6490	0.88523
6500	1.08514
6510	1.70353
6520	1.45944
6530	1.44677
6540	0.82954
6550	2.23642
6560	1.64558
6570	1.23654
6580	1.03863
6590	1.07039
6600	1.49328
6610	1.17794
6620	1.39333
6630	1.40445
6640	1.29492
6650	1.32742
6660	1.47868
6670	1.45762
6680	1.37552
6690	1.62188
6700	2.05243
6710	2.06202
6720	1.64728
6730	1.90142
6740	1.97357
6750	1.73319
6760	1.61223
6770	1.34993
6780	1.56254
6790	7.66985
6800	6.29595
6810	9.0301
6820	0.98435
6830	1.63462
6840	1.46869
6850	0.93057
6860	1.19932
6870	0.90696
6880	1.38274
6890	1.15747
6900	1.33755
6910	1.93793
6920	1.33909
6930	1.73514
6940	1.41168
6950	1.19362
6960	0.81871
6970	1.00923
6980	1.17141
6990	0.82897
7000	1.06071
7010	0.93863
7020	1.28772
7030	1.34468
7040	1.73027
7050	1.07062
7060	1.49354
7070	1.22396
7080	0.83693
7090	1.76421
7100	1.58097
7110	1.41639
7120	1.22752
7130	1.6846
7140	1.76402
7150	1.51504
7160	1.16003
7170	1.17942
7180	2.37355
7190	1.74405
7200	1.72206
7210	1.51604
7220	1.62297
7230	1.25744
7240	1.41583
7250	1.47543
7260	0.89622
7270	1.39306
7280	1.21972
7290	1.61188
7300	1.21331
7310	1.04148
7320	1.37771
7330	1.5161
7340	1.03731
7350	1.95093
7360	1.52282
7370	0.90724
7380	2.201
7390	2.06074
7400	1.19957
7410	1.31277
7420	1.28421
7430	1.9135
7440	1.06607
7450	1.38571
7460	1.00943
7470	1.55079
7480	1.61033
7490	1.69193
7500	1.2425
7510	1.21787
7520	2.54433
7530	1.72608
7540	0.97014
7550	0.96933
7560	0.47948
7570	1.60307
7580	3.47268
7590	1.54157
7600	0.33616
7610	1.00404
7620	1.19548
7630	2.15857
7640	2.48403
7650	4.38236
7660	11.19729
7670	9.95352
7680	8.18955
7690	7.67312
7700	12.60892
7710	11.08888
7720	13.26263
7730	2.07709
7740	3.4146
7750	2.76077
7760	1.69468
7770	1.42782
7780	1.492
7790	1.38088
7800	1.41289
7810	4.3816
7820	3.86387
7830	1.47443
7840	2.09117
7850	1.54778
7860	1.75699
7870	1.61334
7880	2.19669
7890	2.60986
7900	2.3246
7910	2.42948
7920	2.48851
7930	7.98671
7940	7.64596
7950	3.70247
7960	2.11603
7970	1.89114
7980	1.20858
7990	1.62133
8000	0.41262
8010	0.53868
8020	0.53432
8030	0.30586
8040	1.54371
8050	0.28674
8060	0.09556
8070	0.41351
8080	0.10196
8090	0.16777
8100	0.11343
8110	0.57219
8120	0.58579
8130	0.2335
8140	0.13619
8150	0.25427
8160	0.1863
8170	0.65391
8180	0.35011
8190	0.26119
8200	0.24791
8210	0.31367
8220	0.02636
8230	0.94005
8240	0.10885
8250	0.40364
8260	0.30851
8270	0.16373
8280	0.44846
8290	0.30086
8300	0.30281
8310	0.22144
8320	0.7194
8330	0.65786
8340	0.90787
8350	0.34628
8360	0.42268
8370	0.37734
8380	0.24171
8390	0.46156
8400	0.31571
8410	0.2752
8420	0.20216
8430	0.5553
8440	0.19136
8450	0.31083
8460	0.47245
8470	0.41695
8480	0.31945
8490	0.42591
8500	0.40128
8510	0.21057
8520	0.64329
8530	0.1419
8540	0.19718
8550	1.01728
8560	0.49355
8570	0.6383
8580	0.10213
8590	0.23511
8600	0.3064
8610	0.23442
8620	0.26889
8630	0.38511
8640	0.5106
8650	0.4557
8660	0.61526
8670	0.45535
8680	0.6516
8690	1.07643
8700	0.46583
8710	0.46195
8720	1.11806
8730	0.48579
8740	0.4869
8750	0.57534
8760	0.53306
8770	0.6158
8780	0.83243
8790	0.99593
8800	1.19079
8810	1.18866
8820	1.10827
8830	1.25818
8840	1.49725
8850	1.72394
8860	1.72621
8870	1.77013
8880	0.61262
8890	0.82208
8900	0.74117
8910	0.95049
8920	1.07615
8930	1.01292
8940	1.12277
8950	1.0618
8960	1.59824
8970	2.56775
8980	3.05104
8990	2.64103
9000	2.42394
9010	1.43064
9020	1.50927
9030	1.73906
9040	1.48854
9050	1.2
9060	1.82817
9070	2.062
9080	1.33019
9090	1.12971
9100	1.40694
9110	1.29853
9120	1.91838
9130	1.80578
9140	1.78137
9150	2.72129
9160	3.39113
9170	4.41018
9180	2.873
9190	2.1559
9200	2.0784
9210	2.31459
9220	1.36592
9230	1.13327
9240	0.16972
9250	1.2441
9260	1.10482
9270	1.12459
9280	0.89705
9290	0.78688
9300	1.44291
9310	1.29059
9320	1.24816
9330	0.61178
9340	1.06597
9350	1.40831
9360	0.15397
9370	0.78028
9380	0.78409
9390	1.43099
9400	0.86244
9410	1.50274
9420	0.67733
9430	0.57848
9440	1.19331
9450	0.94659
9460	0.75297
9470	1.04527
9480	0.35983
9490	1.05622
9500	0.63863
9510	0.77713
9520	0.44638
9530	0.94588
9540	0.2428
9550	1.03096
9560	0.59933
9570	0.12335
9580	0.28592
9590	0.37348
9600	0.42502
9610	0.5719
9620	0.81999
9630	0.73427
9640	0.65632
9650	0.88053
9660	0.37919
9670	0.59162
9680	2.10578
9690	0.36871
9700	0.40438
9710	1.1206
9720	0.4592
9730	0.12155
9740	1.11107
9750	2.722123146
9760	3.79971838
9770	3.425958157
9780	2.168311358
9790	0.850825429
9800	0.951234221
9810	2.289874554
9820	1.345133305
9830	1.203171372
9840	1.345137
9850	1.203171372
9860	0
9870	0.951242864
9880	1.276132464
9890	1.345137
9900	1.203171372
9910	1.533604383
9920	2.168322802
9930	2.168315172
9940	1.725078067
9950	1.674035695
9960	1.526591048
9970	1.385375467
9980	1.32452161
9990	1.281980339
10000	1.255690436
10010	1.162468709
10020	1.182892789
10030	1.207798393
10040	1.207797785
10050	1.207797237
10060	1.275053479
10070	1.312555508
10080	1.343846534
10090	1.336747842
10100	1.400549446
10110	1.489825069
10120	1.581763695
10130	1.691934048
10140	1.641065042
10150	1.603562968
10160	1.561021696
10170	1.591097526
10180	1.667495988
10190	1.838794015
10200	1.979354587
10210	2.11133278
10220	2.152958292
10230	2.218173879
10240	2.172189446
10250	2.112031426
10260	2.044775184
10270	1.959711011
10280	1.864613362
10290	1.804455204
10300	1.680495031
10310	1.57469721
10320	1.434500463
10330	1.283170773
10340	1.294171675
10350	1.355026104
10360	1.484332146
10370	1.605681087
10380	1.616159763
10390	1.587442137
10400	1.560048784
10410	1.466957022
10420	1.425330897
10430	1.409489651
10440	1.496633697
10450	1.581697869
10460	1.648954415
10470	1.70911271
10480	1.776369256
10490	1.823931185
10500	1.891187731
10510	1.918710151
10520	1.953649566
10530	1.971457222
10540	1.968840358
10550	1.924230263
10560	1.816196029
10570	1.63468893
10580	1.521521986
10590	1.44619813
10600	1.359321031
10610	1.35932062
10620	1.377952859
10630	1.31077089
10640	1.22362694
10650	1.159834671
10660	1.15638417
10670	1.160031921
10680	1.160031825
10690	1.197533974
10700	1.236589858
10710	1.196471128
10720	1.14391506
10730	1.088933444
10740	1.046411025
10750	1.106565022
10760	1.180390607
10770	1.247647153
10780	1.392331019
10790	1.445337775
10800	1.457934141
10810	1.474456072
10820	1.435399944
10830	1.435399729
10840	1.528621434
10850	1.678647509
10860	1.795104244
10870	1.973262134
10880	2.328363767
10890	2.69087483
10900	2.948572305
10910	3.317603478
10920	3.540837506
10930	3.646861523
10940	3.728280222
10950	3.651882002
10960	3.556784609
10970	3.489528063
10980	3.323572293
10990	3.250870812
11000	3.220794913
11010	3.186656377
11020	3.225712684
11030	3.225712791
11040	3.198899564
11050	3.11266571
11060	3.017466959
11070	2.842759416
11080	2.480559489
11090	2.093142506
11100	1.789290759
11110	1.420259696
11120	1.274747747
11130	1.244953781
11140	1.188250166
11150	1.188250274
11160	1.25550682
11170	1.322763366
11180	1.390019912
11190	1.363729994
11200	1.333647598
11210	1.291106184
11220	1.184793635
11230	1.117537196
11240	1.029856814
11250	0.944792689
11260	0.85972866
11270	0.813744172
11280	0.817392346
11290	0.778506093
11300	0.718347935
11310	0.670786114
11320	0.571794525
11330	0.529288199
11340	0.525837842
11350	0.499547769
11360	0.432291223
11370	0.365034677
11380	0.297778131
11390	0.276506227
11400	0.276506227
11410	0.324068049
11420	0.39132444
11430	0.412596296
11440	0.433868152
11450	0.501124543
11460	0.5612827
11470	0.603816985
11480	0.603816842
11490	0.603816794
11500	0.603816794
11510	0.603816794
11520	0.630106759
11530	0.633556962
11540	0.612292141
11550	0.654826473
11560	0.739890455
11570	0.807146846
11580	0.854708667
11590	0.875980523
11600	0.875980523
11610	0.828418702
11620	0.761162311
11630	0.739890455
11640	0.718618599
11650	0.651362208
11660	0.651362208
11670	0.647714177
11680	0.644066146
11690	0.682952447
11700	0.743110605
11710	0.803268762
11720	0.822963332
11730	0.776978797
11740	0.755709286
11750	0.755709286
11760	0.734451492
11770	0.688466957
11780	0.640905136
11790	0.61963328
11800	0.61963328
11810	0.667195101
11820	0.734451492
11830	0.755723348
11840	0.776995252
11850	0.844251798
11860	0.831655569
11870	0.819059341
11880	0.758901183
11890	0.765999417
11900	0.753403081
11910	0.693244924
11920	0.673550354
11930	0.739958832
11940	0.806367309
11950	0.837658556
11960	0.850532229
11970	0.905940235
11980	1.029900265
11990	1.077462086
12000	1.137620244
12010	1.210321796
12020	1.203223628
12030	1.242109929
12040	1.280996183
12050	1.213739637
12060	1.166177708
12070	1.178773937
12080	1.238932094
12090	1.23183386
12100	1.244430196
12110	1.244430196
12120	1.196868375
12130	1.156749862
12140	1.13632592
12150	1.062500341
12160	1.033382355
12170	1.020508753
12180	0.963805191
12190	0.976401593
12200	0.976401658
12210	0.916296507
12220	0.916296507
12230	0.903700225
12240	0.864813948
12250	0.864813948
12260	0.864813948
12270	0.864813948
12280	0.864813948
12290	0.80465579
12300	0.744497633
12310	0.744497633
12320	0.744497633
12330	0.696935812
12340	0.650951277
12350	0.744172981
12360	0.825917268
12370	0.857208472
12380	0.877632374
12390	0.902538168
12400	0.906186134
12410	0.913284302
12420	0.940806413
12430	0.940806359
12440	0.919534479
12450	0.919534479
12460	0.919534479
12470	0.859376322
12480	0.6
12490	0.6
12500	0.6
12510	0.6
12520	0.6
12530	0.6
12540	0.6
12550	0.6
12560	0.6
12570	0.6
12580	0.6
12590	0.6
12600	0.6
12610	0.6
12620	0.6
12630	0.6
12640	0.6
12650	0.6
12660	0.6
12670	0.6
12680	0.6
12690	0.6
12700	0.6
12710	0.6
12720	0.6
12730	0.6
12740	0.6
12750	0.6
12760	0.6
12770	0.6
12780	0.6
12790	0.6
12800	0.6
12810	0.6
12820	0.6
12830	0.6
12840	0.6
12850	0.6
12860	0.6
12870	0.6
12880	0.6
12890	0.6
12900	0.6
12910	0.6
12920	0.6
12930	0.6
12940	0.6
12950	0.6
12960	0.6
12970	0.6
12980	0.6
12990	0.6
13000	0.6
13010	0.6
13020	0.6
13030	0.6
13040	0.6
13050	0.6
13060	0.6
13070	0.6
13080	0.6
13090	0.6
13100	0.6
13110	0.6
13120	0.6
13130	0.6
13140	0.6
13150	0.6
13160	0.6
13170	0.6
13180	0.6
13190	0.6
13200	0.6
13210	0.6
13220	0.6
13230	0.6
13240	0.6
13250	0.6
13260	0.6
13270	0.6
13280	0.6
13290	0.6
13300	0.6
13310	0.6
13320	0.6
13330	0.6
13340	0.6
13350	0.6
13360	0.6
13370	0.6
13380	0.6
13390	0.6
13400	0
13410	0
13420	0
13430	0
13440	0
13450	0
